FULL_ADDRESS,LATITUDE,LONGITUDE
"100 Lippincott Street, Toronto, ON",43.65792664736842,-79.4071056368421
"973 Lansdowne Avenue, Toronto, ON",43.6658599,-79.44591857692308
"43 Christie Street, Toronto, ON",43.6651723,-79.4188638
"1229 Ellesmere Road, Toronto, ON",43.76859747692308,-79.26737473076923
"1651 Sheppard Ave West, Toronto, ON",43.742472,-79.4965543
"4222 Kingston Road, Toronto, ON",43.760735499999996,-79.19669993253612
"38 Bathurst St, Toronto, ON",43.641817,-79.401972
"291 Sherbourne Street, Toronto, ON",43.6604847,-79.3717112
"3306 Kingston Road, Toronto, ON",43.73420388534739,-79.2225310558894
"339 George Street, Toronto, ON",43.65970045278059,-79.37432335449446
"129 Peter St, Toronto, ON",43.6487433,-79.3931384
"674 Dundas St. W, Toronto, ON",43.6518512,-79.4036296
"616 Vaughan Road Toronto, Toronto, ON",43.6919186,-79.4398677
"20 Gerrard Street East, Toronto, ON",43.6595035,-79.3814353
"2714 Danforth Avenue, Toronto, ON",43.689112648000005,-79.298146284
"349 George Street, Toronto, ON",43.660052,-79.374465
"60 Brant Street, Toronto, ON",43.6450279,-79.3976357
"360 Lesmill Road, North York, ON",43.763328,-79.3609144199367
"25 Canterbury Place, North York, ON",43.77280625,-79.41474913815213
"490 Sherbourne Street, Toronto, ON",43.6676261,-79.3753007614192
"512 Jarvis St., Toronto, ON",43.6676332,-79.37925308709131
"86 Lombard St., Toronto, ON",43.6520802,-79.3743488
"1161 Caledonia Road, Toronto, ON",43.7156276,-79.4674122
"412 Queen Street East, Toronto, ON",43.656175,-79.3624789
"702 Kennedy Rd, Toronto, ON",43.727839790000004,-79.26629156
"1322 Bloor Street West, Toronto, ON",43.658377,-79.4432364
"3576 St. Clair Avenue East, Scarborough, ON",43.71729495,-79.25873748333333
"805A Wellington Street W, Toronto, ON",43.6465143,-79.383497
"422 Gilbert Avenue, Toronto, ON",43.68919647,-79.46210952
"1076 Pape Avenue, Toronto, ON",43.690771639999994,-79.34949638
"14 Vaughan Road, Toronto, ON",43.6814522,-79.4181972
"558 Bathurst Street, Toronto, ON",43.658445145098035,-79.40873056862745
"126 Pape Avenue, Toronto, ON",43.66253591428571,-79.33820214285714
"60 Newcastle Street, Toronto, ON",43.6179513,-79.4973594
"70 Gerrard St. E., Toronto, ON",43.659977,-79.378375
"3410 Bayview Avenue, Toronto, ON",43.79811645473404,-79.39509773732443
"525 Bloor Street East, Toronto, ON",43.671801200000004,-79.37378513420816
"87 Pembroke St, Toronto, ON",43.659289,-79.37272525
"101 Ontario Street, Toronto, ON",43.6545261,-79.3668494
"2808 Dundas St W, Toronto, ON",43.665538,-79.4631271
"723 Queen Street West, Toronto, ON",43.64649445,-79.40630053173085
"107 Jarvis Street, Toronto, ON",43.65220866666667,-79.37252099999999
"Sherbourne Street, Toronto, ON",43.6544512,-79.369424
"29 Leslie Street, Toronto, ON",43.6620206,-79.3294881
"2671 Islington Avenue, Toronto, ON",43.739153,-79.5656501661671
"502 Spadina Ave., Toronto, ON",43.65866645,-79.40075323510317
"191 Spadina Road, Toronto, ON",43.6735007,-79.40637622564103
"95 Wellesley St. E., Toronto, ON",43.66582305,-79.37920453276148
"23 Grange Road, Toronto, ON",43.6519791,-79.39139734517808
"875 Queen St E, Toronto, ON",43.6601461,-79.34291715425628
"7 Vanauley Street, Toronto, ON",43.64882675,-79.39829125
"21 Walmer Rd., Toronto, ON",43.667900849999995,-79.4055445043087
"80 Woodlawn Ave. East, Toronto, ON",43.68496010743887,-79.3891954074225
"6 Warrendale Court, Etobicoke, ON",43.7364663,-79.5802022
"348 Davenport Rd., Toronto, ON",43.67530011065648,-79.40151870869647
"702 Kennedy Road, Scarborough, ON",43.727839790000004,-79.26629156
"248 Dufferin Street, Toronto, ON",43.6377731,-79.4270792
"167 College Street, Toronto, ON",43.6588905,-79.39356647724168
"177 Caledonia Rd, Toronto, ON",43.6800537,-79.4567434
"747 Warden Ave, Toronto, ON",43.71752463333333,-79.2831322
"129 Peter Street, Toronto, ON",43.6487433,-79.3931384
"257 Dundas Street East, Toronto, ON",43.658141,-79.372149
"100 Lippincott St, Toronto, ON",43.65792664736842,-79.4071056368421
"973 Lansdowne Ave, Toronto, ON",43.6658599,-79.44591857692308
"850 Bloor St W, Toronto, ON",43.66244259375,-79.42414367500001
"1651 Sheppard Ave W, Toronto, ON",43.742472,-79.4965543
"4222 Kingston Rd, Toronto, ON",43.760735499999996,-79.19669993253612
"3306 Kingston Rd, Toronto, ON",43.73420388534739,-79.2225310558894
"731 Runnymede Rd, Toronto, ON",43.6682548,-79.4828506
"339 George St, Toronto, ON",43.65970045278059,-79.37432335449446
"674 Dundas St W, Toronto, ON",43.6518512,-79.4036296
"63 Bellwoods Ave, Toronto, ON",43.6479162,-79.4114678
"616 Vaughan Rd, Toronto, ON",43.6919186,-79.4398677
"20 Gerrard St E, Toronto, ON",43.6595035,-79.3814353
"21 McGill St, Toronto, ON",43.660037,-79.381353
"351 Lake Shore Blvd E, Toronto, ON",43.647704,-79.360826
"354 George St, Toronto, ON",43.659138884142244,-79.37435538410621
"2714 Danforth Ave, Toronto, ON",43.689112648000005,-79.298146284
"349 George St, Toronto, ON",43.660052,-79.374465
"60 Brant St, Toronto, ON",43.6450279,-79.3976357
"360 Lesmill Rd, Toronto, ON",43.763328,-79.3609144199367
"25 Canterbury Pl, Toronto, ON",43.77280625,-79.41474913815213
"70 Denison Ave, Toronto, ON",43.65020583333334,-79.40166666666667
"490 Sherbourne St, Toronto, ON",43.6676261,-79.3753007614192
"386 Dundas St E, Toronto, ON",43.65910464375,-79.3681658125
"512 Jarvis St, Toronto, ON",43.6676332,-79.37925308709131
"1161 Caledonia Rd, Toronto, ON",43.7156276,-79.4674122
"1A Strachan Ave, Toronto, ON",43.6345794,-79.4088216
"257 Dundas St E, Toronto, ON",43.658141,-79.372149
"412 Queen St E, Toronto, ON",43.656175,-79.3624789
"35 Sydenham St, Toronto, ON",43.6567429,-79.3623502
"545 Lake Shore Blvd W, Toronto, ON",43.636441,-79.39875607588968
"195 Princes' Blvd, Toronto, ON",43.6325184,-79.4200876
"3576 St Clair Ave E, Toronto, ON",43.71729495,-79.25873748333333
"5800 Yonge St , North York, ON",43.7842498,-79.4168959
"805A Wellington St W, Toronto, ON",43.6465143,-79.383497
"422 Gilbert Ave, Toronto, ON",43.68919647,-79.46210952
"1076 Pape Ave, Toronto, ON",43.690771639999994,-79.34949638
"21 Park Rd, Toronto, ON",43.67209615,-79.38446173770662
"14 Vaughan Rd, Toronto, ON",43.6814522,-79.4181972
"26 Vaughan Rd, Toronto, ON",43.6818715,-79.4186979
"558 Bathurst St, Toronto, ON",43.658445145098035,-79.40873056862745
"126 Pape Ave, Toronto, ON",43.66253591428571,-79.33820214285714
"60 Newcastle St, Toronto, ON",43.6179513,-79.4973594
"70 Gerrard St E, Toronto, ON",43.659977,-79.378375
"3410 Bayview Ave, Toronto, ON",43.79811645473404,-79.39509773732443
"25 Augusta Ave, Toronto, ON",43.648837,-79.399847
"69 Fraser Ave, Toronto, ON",43.6375606,-79.4240917
"98 The Esplanade, Toronto, ON",43.6478392,-79.3724778
"525 Bloor St E, Toronto, ON",43.671801200000004,-79.37378513420816
"101 Ontario St, Toronto, ON",43.6545261,-79.3668494
"107 Jarvis St, Toronto, ON",43.65220866666667,-79.37252099999999
"135 Sherbourne St, Toronto, ON",43.6551774,-79.36947667778348
"29A Leslie St, Toronto, ON",43.6620206,-79.3294881
"2671 Islington Ave, Toronto, ON",43.739153,-79.5656501661671
"502 Spadina Ave, Toronto, ON",43.65866645,-79.40075323510317
"191 Spadina Rd, Toronto, ON",43.6735007,-79.40637622564103
"95 Wellesley St E, Toronto, ON",43.66582305,-79.37920453276148
"705 Progress Ave, Toronto, ON",43.77831430491696,-79.24646468420971
"7 Vanauley St, Toronto, ON",43.64882675,-79.39829125
"21 Walmer Rd, Toronto, ON",43.667900849999995,-79.4055445043087
"80 Woodlawn Ave E, Toronto, ON",43.68496010743887,-79.3891954074225
"6 Warrendale Ct, Etobicoke, ON",43.7364663,-79.5802022
"747 Warden Ave, Scarborough, ON",43.71752463333333,-79.2831322
"76 Church St, Toronto, ON",43.6508035,-79.3749075
"962 Bloor St W, Toronto, ON",43.6614308,-79.4288255
"1059 College Street, Toronto, ON",43.6527199,-79.4308147
"354 George St, Scarborough, ON",11.2215888,-60.7773576
"67 Adelaide St E, Toronto, ON",43.6510367,-79.37515246666666
"4117 Lawrence Ave E, Scarborough, ON",43.7661878,-79.19340737124298
"348 Davenport Road, Toronto, ON",43.67530011065648,-79.40151870869647
"1677 Wilson Ave, North York , ON",43.718908049999996,-79.51456906328633
"55 Hallcrown Pl, North York, ON",43.7692688,-79.3221935
"445 Rexdale Blvd, Etobicoke, ON",43.71604835,-79.59398958554878
"14 Roncesvalles Ave, Toronto, ON",43.6389538,-79.446457
"43 Christie St, Toronto, ON",43.6651723,-79.4188638
"1229 Ellesmere Rd, Toronto, ON",43.76859747692308,-79.26737473076923
"274 Sackville St, Toronto, ON",43.6623883,-79.3640731
"295 Sackville St, Toronto, ON",43.661754535589324,-79.36356384978347
"325 Gerrard St E, Toronto, ON",43.6620526,-79.3659096
"355 Gerrard St E, Toronto, ON",43.6624184,-79.3641484
"808 Mt Pleasant Rd, Toronto, ON",43.7088296,-79.39085849469541
"2685 Kingston Rd, Scarborough, ON",43.716848,-79.24091296236648
"4674 Kingston Rd, Toronto, ON",43.77638949999999,-79.17471338487584
"4540 Kingston Rd, Toronto, ON",43.7726796,-79.1852035
"3600 Steeles Ave W, Vaughan, ON",43.7721332,-79.5382614
"291 Sherbourne St, Toronto, ON",43.6604847,-79.3717112
"4584 Kingston Rd, Scarborough, ON",43.686513,-79.2727929
"77 Ryerson Ave, Toronto, ON",43.650085250000004,-79.40251746774611
"222 Spadina Ave, Toronto, ON",43.6509965,-79.39756
"65 Dundas St E, Toronto, ON",43.656151,-79.37836
"60 York St, Toronto, ON",43.6463137,-79.3830867
"56 Yonge St, Toronto, ON",43.6481903,-79.3776696
"2035 Kennedy Rd, Scarborough, ON",43.7772435,-79.28268635656599
"185 Yorkland Blvd, North York, ON",43.7713127,-79.3354933
"335 Jarvis St, Toronto, ON",43.6603212,-79.3755149
"26 Gerrard St E, Toronto, ON",43.659478,-79.3809805
"165 Grange Ave, Toronto, ON",43.6508615,-79.4013588
"30 Norfinch Dr, North York, ON",43.75630675,-79.52718552084744
"50 Estate Dr, Scarborough, ON",43.7830185,-79.23553601737132
"189B Booth Ave, Toronto, ON",43.6597194,-79.343219
"1684 Queen St E, Toronto, ON",43.6672363,-79.313387
"45 The Esplanade, Toronto, ON",43.646654,-79.37411907725917
"556 Sherbourne St, Toronto, ON",43.6700224,-79.376126
"20 Milner Business Ct, Scarborough, ON",43.7879119,-79.2357619
"92 Peter St, Toronto, ON",43.64696975,-79.39320805153557
